"Study_#","Source","Publication_year","Link","Country","M49_Code","Region","Category","WB_Income_Category","Study_area_level","Study_area_name","Country_Population_Millions","Household","Food_Service","Retail","Method","Confidence_Classification","Description","Household_Diary?","Edible_Waste_Only?","Year(s)_covered","FW_Share_estimate","Share_note","Edible_Avoidable_Share","Edible_Avoidable_Note"," Mass_estimate ","Original_Mass_Measure"," Time_Adjustment_Y "," Weight_Adjustment_T "," Standardised_Mass_tonnes/year ","Derived_Estimate_Needed?"," Study_Year_Country_Population "," Study_Year_Subnational_Population ","Derived_Normalised_kg/capita/year","Normalised_Mass_Estimate","Original_Normalised_Mass_Measure","Normalised_Weight_Adjustment_kg","Normalised_Time_Adjustment_Y","Standardised_Normalised_Mass_kg/capita/year","Preferred_estimate_kg/capita","Household_Diary_Adjustment","Household_Inedible_Adjustment","Food_Service_Inedible_Adjustment","Retail_Inedible_Adjustment","Total_Adjustment","Final_kg/cap/yr_estimate"
18,"Anaerobic digestion based waste-to-energy technologies can halve the climate impact of China’s fast-growing food waste by 2040",2020,"https://doi.org/10.1016/j.jclepro.2020.123490","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","West China",1433.7837,,1,,"Mixed method",1,"This paper aggregates a huge number of what they term 'catering waste' papers. 47 of them in total from various areas of China. It's a mixture of surveys, official statistics, author's calculations etc. to create data on catering food waste across different regions. This is then associated to a number of correlates which are used to predict growing food waste in future. The authors worked with datapoints from a range of years and other data to form a 2019 estimate which is what we use here.",,,2018,,,,,,,,,,," -   "," -   ",,0.13,"kg / capita / day",0.13,47.48,47,47,1.00,1.00,1.00,1.00,1.00,47
18,"Anaerobic digestion based waste-to-energy technologies can halve the climate impact of China’s fast-growing food waste by 2040",2020,"https://doi.org/10.1016/j.jclepro.2020.123490","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Urban China Total",1433.7837,,1,,"Mixed method",1,"This paper aggregates a huge number of what they term 'catering waste' papers. 47 of them in total from various areas of China. It's a mixture of surveys, official statistics, author's calculations etc. to create data on catering food waste across different regions. This is then associated to a number of correlates which are used to predict growing food waste in future. The authors worked with datapoints from a range of years and other data to form a 2019 estimate which is what we use here. The total waste figure itself was not listed in the text but was confirmed with the authors as being 38 million tonnes. This refers only to urban catering waste.",,,2018,,,,," 38 ","Million tonnes / year",38,38000000," 38,000,000 ",," -   "," 839,460,000 ",,45.00,"kg / capita / year",45.00,45.00,45,45,1.00,1.00,1.00,1.00,1.00,45
18,"Anaerobic digestion based waste-to-energy technologies can halve the climate impact of China’s fast-growing food waste by 2040",2020,"https://doi.org/10.1016/j.jclepro.2020.123490","China",156,"Eastern Asia","Developing","UMC","Municipality & Sub-national region","Northeast China",1433.7837,,1,,"Mixed method",1,"This paper aggregates a huge number of what they term 'catering waste' papers. 47 of them in total from various areas of China. It's a mixture of surveys, official statistics, author's calculations etc. to create data on catering food waste across different regions. This is then associated to a number of correlates which are used to predict growing food waste in future. The authors worked with datapoints from a range of years and other data to form a 2019 estimate which is what we use here.",,,2018,,,,,,,,,,," -   "," -   ",,0.09,"kg / capita / day",0.09,34.33,34,34,1.00,1.00,1.00,1.00,1.00,34
19,"Project on Master Plan Study for Integrated Solid Waste Management in Bogota, D.C.",2013,"https://openjicareport.jica.go.jp/pdf/12126843.pdf","Colombia",170,"Latin America and the Caribbean","Developing","UMC","Municipality & Sub-national region","Bogota",50.3394,1,,,"Waste Composition Analysis",2,"The paper cites 3259 samples, although it's unclear if this is referring to households or individuals, taken across a single twenty four hour period, across 19 localities and six socioeconomic categories. Whilst the length of sample is small, the size was considered to compensate for this.",,,2011,60%,"Share of waste which is food waste, distinct from organic","> 14.13%","Food disaggregated into 'prepared' (i.e. leftovers, 8.56%) and 'not prepared' (assumed to include scraps, 52%). Distinct from garden waste, textiles, wood. Table 4-6 has composition. This amounts to at least 14% being edible (prepared) through 8.56/60.56. Not prepared would be a mixture of edible and inedible waste so we cannot with confidence say the share of edible or avoidable waste.
",,,,,,," -   "," 7,258,629 ",,0.19,"kg / capita / day",0.19,70.43,70,70,1.00,1.00,1.00,1.00,1.00,70
20,"Kortlægning af madaffald i servicesektoren: Detail handel, restauranter og storkøkkener",2016,"https://mst.dk/service/publikationer/publikationsarkiv/2014/okt/kortlaegning-af-madaffald-i-servicesektoren/","Denmark",208,"Northern Europe","Developed","HIC","Nationwide",,5.7719,,,1,"Waste Composition Analysis",1,"Paper is in Danish but has a summary in English. The waste from 53 businesses was studied, 69 were visited to discuss their food waste management. It's unclear what share of this sample was retail, but the paper claims the sample was aimed to be representative. It analyses not just non-specialised stores (supermarkets etc.) but also specialised stores such as butchers, fishmongers and greengrocers. The value is the sum of non-specialised (1) and specialised retail (2) but does not include wholesale (3). Confidence intervals of ±25 are given for each retail sector.",,,2012,,,97%,"Includes edible / inedible splits for each sector and subsector, see Table in Summary."," 167,100 ","Tonnes / year",167100,167100," 167,100 ",," 5,605,514 "," -   ",,29.80,"kg / capita / year",29.80,29.80,30,30,1.00,1.00,1.00,1.00,1.00,30
20,"Kortlægning af madaffald i servicesektoren: Detail handel, restauranter og storkøkkener",2016,"https://mst.dk/service/publikationer/publikationsarkiv/2014/okt/kortlaegning-af-madaffald-i-servicesektoren/","Denmark",208,"Northern Europe","Developed","HIC","Nationwide",,5.7719,,1,,"Surveys, questionnaires and interviews",1,"Electronic questionnaire studies were issues to chefs among hotels, restaurants and canteens. 474 chefs reported information about their food waste. The paper also refers to 53 businesses being studied; it is unclear if this number includes out of home consumption businesses or just retail. The authors claim it was designed to be as representative as possible. The figure taken is the sum of Hotels (4), Restaurants (5), Institutions (6) and Canteens (7). Confidence intervals of ±25 are provided for hotels and restaurants, ±50 for institutions and ±10 for canteens.",,,2012,,,52%,"Edible / inedible splits are presented for each subsector. The edible waste arisings are summed and divided by the total food waste for the food service sector as a whole."," 115,700 ","Tonnes / year",115700,115700," 115,700 ",1," 5,605,514 "," -   ",21,20.90,"Ton / € million turnover PPP adjusted",,,,21,1.00,1.00,1.00,1.00,1.00,21
21,"Food waste from Danish households: Generation and composition",2016,"https://doi.org/10.1016/j.wasman.2016.03.032","Denmark",208,"Northern Europe","Developed","HIC","Nationwide",,5.7719,1,,,"Waste Composition Analysis",1,"1474 households were randomly selected across five Danish municipalities in which there is no source segregation of household food waste. Depending on their collection schedule, their waste from one or two weeks was collected and sorted.",,,2012,43%,"Share of waste which is food waste, no other organic estimate",56%,"Includes splits at household level of avoidable and unavoidable, plus further disaggregation into food type (Fig 1). Thisis mesured in kg/household/year. Total Food waste is 183 kg/household/year, of which 103 is avoidable and 80 unavoidable.",,,,,,," 5,605,514 "," -   ",,1.60,"kg / capita / week",1.60,83.20,83,83,1.00,1.00,1.00,1.00,1.00,83
22,"Kortlægning af sammenstaetningen af dagrenovation og kildesorteret oranisk affald fra husholdninger",2018,"https://www2.mst.dk/Udgiv/publikationer/2018/03/978-87-93614-78-9.pdf","Denmark",208,"Northern Europe","Developed","HIC","Nationwide",,5.7719,1,,,"Waste Composition Analysis",1,"1600 houses sampled across four municipalities. It specifically looks at and disaggregates between single family homes and blocks of flats in each of those municipalities.",,,2017,46%,"Share of waste which is food waste, distinct from organic",54%,"Splits food waste into 'avoidable' and 'unavoidable' food waste. Avoidable: 246,977 tonnes; unavoidable: 208,552. This is further disaggregated by different house types, there is also a breakdown of different food stuffs (see Tables 7, 8 and 9)."," 455,529 ","Tonnes / year",455529,455529," 455,529 ",1," 5,732,300 "," -   ",79,,,,,,79,1.00,1.00,1.00,1.00,1.00,79
23,"Toidujäätmete ja toidukao teke Eesti kodumajapidamistes ja toitlustusasutustes",2015,"https://www.sei.org/wp-content/uploads/2017/12/sei-2015-report-food-waste-and-food-loss-in-estonian-households-and-catering-institutions-sei-tallinn1.pdf","Estonia",233,"Northern Europe","Developed","HIC","Nationwide",,1.3256,,1,,"Waste Composition Analysis",1,"20 catering institutions had waste audits run: 3 restaurants, 3 bars/pubs, 3 cafes, 4 canteens/buffets, 3 schools, 3 kindergartens, 1 hospital. This therefore offers a good variation of commercial and non-commercial out of home consumption. Across 5 days, waste was measured at preparation, serving, consumption and storing food to provide waste generation figures which was scaled up.",,,2014,,,59%,"59% of the total food waste was avoidable (as defined in the source, 'food loss'). The paper also contains a breakdown of different size of waste per portion in different institutions."," 22,000 ","Tonnes / year",22000,22000," 22,000 ",1," 1,324,843 "," -   ",17,,,,,,17,1.00,1.00,1.00,1.00,1.00,17
23,"Toidujäätmete ja toidukao teke Eesti kodumajapidamistes ja toitlustusasutustes",2015,"https://www.sei.org/wp-content/uploads/2017/12/sei-2015-report-food-waste-and-food-loss-in-estonian-households-and-catering-institutions-sei-tallinn1.pdf","Estonia",233,"Northern Europe","Developed","HIC","Nationwide",,1.3256,1,,,"Diaries",2,"100 households of various income levels and living arrangements took part in a diary study alongside a questionnaire survey. It has been adjusted to account for diary bias.",1,,2014,,,36%,"Has avoidable food waste (which they term 'food loss') estimate as constituting 36% of total food waste generation. As a result, avoidable food waste was 16.8kg / person / year.
The authors also present some breakdowns of types of foods which are discarded."," 96,000 ","Tonnes / year",96000,96000," 96,000 ",," 1,324,843 "," -   ",,54.10,"kg / capita / year",54.10,54.10,54,54,1.43,1.00,1.00,1.00,1.43,78
24,"Analysis of food waste in the Estonian food trade sector and the food industry Summary",2015,"https://www.sei.org/wp-content/uploads/2017/12/summary-food-waste-in-estonian-food-trade-sector-and-industry-sei-tallinn-2016.pdf","Estonia",233,"Northern Europe","Developed","HIC","Nationwide",,1.3256,,,1,"Mixed method",2,"Study in Estonian, referenced in Stenmarck et al. (2016), which details that 11 retailers had detailed analyses carried out including interviews, on-site observations and weighing. An additional questionnaire was sent to 600 retailers and 183 wholesalers, scaled by grocery store distribution across Estonia. This paper is also referenced in Caldeira et al. (2019) with a slightly different waste figure, it is unclear why these are different.",,,2012,,,,," 6,270 ","Tonnes / year",6270,6270," 6,270 ",1," 1,328,471 "," -   ",5,,,,,,5,1.00,1.00,1.00,1.00,1.00,5
25,"Solid Waste Generation Rate and Characterization Study for Laga Tafo Laga Dadi Town, Oromia, Ethiopia",2017,"https://doi.org/10.11648/j.ijepp.20170506.11","Ethiopia",231,"Sub-Saharan Africa","Developing","LIC","Municipality & Sub-national region","Laga Tafo Laga Dadi town, Oromia",112.0787,1,,,"Waste Composition Analysis",2,"Bags distributed to 92 'residential households' for waste collection and sorting every day. From this waste compositional data, food waste can be derived. It is unclear for how long this compositional analysis took place. Survey in Laga Tafo Laga Dadi (sometimes written Legetafo Legedadi) town, Oromia, a small area on the outskirts of Addis Ababa. 
Note: different 'residential' groups are included in the paper, including 'real estate residential' and 'ropack village residential'. Due to some confusion over the terminology and these types having very high bone waste, only 'residential households' were considered here.",,,2015,62%,"Share of waste which is food waste, distinct from organic",,," 16,170 ","KG / day",5906239,5906," 5,906 ",," -   "," 52,310 ",,0.25,"kg / capita / day",0.25,92.14,92,92,1.00,1.00,1.00,1.00,1.00,92
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Finland",246,"Northern Europe","Developed","HIC","Nationwide",,5.5322,1,,,"Literature",2,"References three different papers: from Katajajuuri et al. (2014), Silvenoinen et al. (2014) and HSY (2012). The Katajajuuri paper is also a separate data point in this database. The first two (diary studies) only estimate avoidable waste (120,000 tonnes), the latter (appears to be a waste compositional anlaysis) was used to estimate avoidable waste (230,000 tonnes). This was done to make them more comparable to other studies of all food waste. Since this adjusted total food waste esimtate comes from Finland-specific data, it was judged that leaving it as a separate data point to compare and average with our generic edible and diary share adjusted figure would be prudent. The adjusted per capita figures are highly comparable to one another, giving some confidence in our estimate.",,,2012,,,,," 345,000 ","Tonnes / year",345000,345000," 345,000 ",," 5,407,400 "," -   ",,63.60,"kg / capita / year",63.60,63.60,64,64,1.00,1.00,1.00,1.00,1.00,64
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Finland",246,"Northern Europe","Developed","HIC","Nationwide",,5.5322,,1,,"Literature",2,"References three different papers: from Katajajuuri et al. (2014), Silvenoinen et al. (2014) and HSY (2012). The Katajajuuri paper is also a separate data point in this database. The first two only estimate avoidable waste (80,000 tonnes), the latter was used to estimate avoidable waste (50,000 tonnes). This was done to make them more comparable to other studies of all food waste. Since this adjusted total food waste esimtate comes from Finland-specific data, it was judged that leaving it as a separate data point to compare and average with our generic edible share adjusted figure would be prudent. The adjusted per capita figures are highly comparable to one another, giving some confidence in our estimate.",,,2012,,,,," 130,000 ","Tonnes / year",130000,130000," 130,000 ",1," 5,407,400 "," -   ",24,22.40,"Ton / € million turnover PPP adjusted",,,,24,1.00,1.00,1.00,1.00,1.00,24
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Greece",300,"Southern Europe","Developed","HIC","Nationwide",,10.4735,,,1,"Literature",2,"Paper cites 'Greek Waste Statistics' from 2011 which could not be found based on the bibliography reference or internet searches. However, it was judged to be 'data of sufficient quality' by Stenmarck et al. (2016). The inability to find the source paper means we cannot have high confidence.",,,2012,,,,," 79,718 ","Tonnes / year",79718,79718," 79,718 ",1," 10,796,714 "," -   ",7,,,,,,7,1.00,1.00,1.00,1.00,1.00,7
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Ireland",372,"Northern Europe","Developed","HIC","Nationwide",,4.8825,,1,,"Literature",2,"Cited as being from the Irish Environmental Protection Agency (2015). The original source and weight estimates were not found based on the bibliography information or direct searches. However, it was judged by Stenmarck et al. (2016) to be 'data of sufficient quality'. The inability to find the source paper means we cannot have high confidence.",,,2012,,,,," 258,900 ","Tonnes / year",258900,258900," 258,900 ",1," 4,611,157 "," -   ",56,27.80,"Ton / € million turnover PPP adjusted",,,,56,1.00,1.00,1.00,1.00,1.00,56
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Ireland",372,"Northern Europe","Developed","HIC","Nationwide",,4.8825,1,,,"Literature",2,"Cited as being from the Irish Environmental Protection Agency (2015). The original source and weight estimates were not found based on the bibliography information or direct searches. However, it was judged by Stenmarck et al. (2016) to be 'data of sufficient quality'. The inability to find the source paper means we cannot have high confidence.",,,2012,,,,," 251,000 ","Tonnes / year",251000,251000," 251,000 ",," 4,611,157 "," -   ",,54.70,"kg / capita / year",54.70,54.70,55,55,1.00,1.00,1.00,1.00,1.00,55
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Luxembourg",442,"Western Europe","Developed","HIC","Nationwide",,0.6157,,,1,"Literature",2,"The paper cites 'Luxembourg Waste Statistics 2015'. This was not found either through the bibliography or through a direct internet search. However, it was considered 'data of sufficient quality' for the purposes of EU FUSIONS. The inability to find the source paper means we cannot have high confidence.",,,2012,,,,," 2,099 ","Tonnes / year",2099,2099," 2,099 ",," -   "," -   ",,3.90,"kg / capita / year",3.90,3.90,4,4,1.00,1.00,1.00,1.00,1.00,4
26,"Estimates of European food waste levels",2016,"https://www.eu-fusions.org/phocadownload/Publications/Estimates%20of%20European%20food%20waste%20levels.pdf ","Netherlands",528,"Western Europe","Developed","HIC","Nationwide",,17.0971,,,1,"Literature",2,"The document cites a paper (De Waart, 2011) which could not be found through a direct internet search for the paper. As a result, it cannot be verified any further. It was judged to be data of 'sufficient quality' for the EU FUSIONS project, however. The inability to find the source paper means we cannot have high confidence.",,,2012,,,,," 180,000 ","Tonnes / year",180000,180000," 180,000 ",," -   "," -   ",,11.00,"kg / capita / year",11.00,11.00,11,11,1.00,1.00,1.00,1.00,1.00,11
27,"Food waste in the Finnish food chain",2014,"http://dx.doi.org/10.1016/j.jclepro.2013.12.057","Finland",246,"Northern Europe","Developed","HIC","Nationwide",,5.5322,1,,,"Diaries",2,"380 households participating in diary study for two weeks. Only looking at edible food. It is adjusted for diary bias and inedible share. The end result is highly comparable with the combined estimate cited in Stenmarck et al. (2016), which used Helsinki metropolitan area waste compositional data to adjust the original figure.",1,1,2010,,,,"Only edible waste is presented."," 140 ","Million kg / year",140,140000," 140,000 ",," -   "," -   ",,23.00,"kg / capita / year",23.00,23.00,23,23,1.43,2.04,1.00,1.00,2.92,67
27,"Food waste in the Finnish food chain",2014,"https://doi.org/10.1016/j.jclepro.2013.12.057","Finland",246,"Northern Europe","Developed","HIC","Nationwide",,5.5322,,1,,"Waste Composition Analysis",2,"This paper includes the results of two separate studies, one on the commercial sector and one on the non-commercial sector. The commercial sector study involved 72 restaurants across 17 businesses - a range of diners, cafes, restaurants, hotels etc. - having their waste measured for a single day. The non-commercial study involved 55 outlets representing three companies providing food for day care, hospitals and workplace canteens, measured over one week. Table 5 in the paper refers to ""avoidable food waste in the Finnish food supply chain"" suggesting that this did not measure total food waste, only the avoidable share, and the figure is therefore adjusted to estimate this inedible or unavoidable share.",,1,2012,,,,"Only edible waste is presented."," 83 ","Million kg / year",83,83000," 83,000 ",," 5,407,400 "," -   ",,15.00,"kg / capita / year",15.00,15.00,15,15,1.00,1.00,1.50,1.00,1.50,23
28,"Pertes et gaspillages alimentaires : l'état des lieux et leur gestion par étapes de la chaîne alimentaire",2016,"https://www.ademe.fr/etat-lieux-masses-gaspillages-alimentaires-gestion-differentes-etapes-chaine-alimentaire","France",250,"Western Europe","Developed","HIC","Nationwide",,65.1297,1,,,"Diaries",2,"Paper in French, with summary available in English and details in Caldeira et al. (2019). 50 households in a representative sample of the French population were measured across 7 days using an online diary survey in which they documented waste each day and uploaded pictures. Only measuring edible food. This has been adjusted to account for both diary bias and the inedible waste share.",1,1,2014,,,,"Only edible waste is presented.",,,,,,," -   "," -   ",,29.00,"kg / capita / year",29.00,29.00,29,29,1.43,2.04,1.00,1.00,2.92,85
28,"Pertes et gaspillages alimentaires : l'état des lieux et leur gestion par étapes de la chaîne alimentaire",2016,"https://www.ademe.fr/etat-lieux-masses-gaspillages-alimentaires-gestion-differentes-etapes-chaine-alimentaire","France",250,"Western Europe","Developed","HIC","Nationwide",,65.1297,,,1,"Surveys, questionnaires and interviews",2,"Paper in French, with summary available in English and details in Caldeira et al. (2019). Across the supply chain, 582 interviews took place: 512 'quali-quantitative', 80 qualitative. Looks only at edible waste (food for human consumption), so has been adjusted.",,1,2015,,,,"Only edible waste is presented."," 1,400,000 ","Tonnes / year",1400000,1400000," 1,400,000 ",1," 64,281,643 "," -   ",22,,,,,,22,1.00,1.00,1.00,1.18,1.18,26
28,"Pertes et gaspillages alimentaires : l'état des lieux et leur gestion par étapes de la chaîne alimentaire",2016,"https://www.ademe.fr/etat-lieux-masses-gaspillages-alimentaires-gestion-differentes-etapes-chaine-alimentaire","France",250,"Western Europe","Developed","HIC","Nationwide",,65.1297,,1,,"Waste Composition Analysis",2,"Combination of studies across canteens and restaurants. 22 canteens and 37 restaurants interviewed. Most of these were self-estimation without measurement, though some measurements were taken independent of the study. The study also conducted a waste audit in one canteen and one restaurant. These were compared to a similar 2011 Agriculture Ministry study of out of home waste. They used this information to confirm the underestimation of out of home actors to their own waste, and prioritise the 'realised' measure over the actor estimate. The waste per meal (including storage waste from kitchen, not just plate waste) is scaled for the respective commercial and non-commercial sector. However, it only looks at edible waste (destined for human consumption) and no preparation waste. This is therefore adjusted.",,1,,,,,"Only edible waste is presented."," 1 ","Million tonnes / year",1,1330000," 1,330,000 ",," -   "," -   ",,21.00,"kg / capita / year",21.00,21.00,21,21,1.00,1.00,1.50,1.00,1.50,32
29,"Preparatory study on food waste across EU 27",2010,"https://ec.europa.eu/environment/eussd/pdf/bio_foodwaste_report.pdf","France",250,"Western Europe","Developed","HIC","Nationwide",,65.1297,,1,,"Literature",2,"Estimate judged to be of 'sufficient quality' by Stenmarck et al. (2016), it combines literature references from a Danish Environmental Ministry Report (2010) and ADEME (2004).",,,2008,,,,," 1,080,000 ","Tonnes / year",1080000,1080000," 1,080,000 ",1," 62,175,740 "," -   ",17,,,,,,17,1.00,1.00,1.00,1.00,1.00,17
30,"Seasonal variation of municipal solid waste generation and composition in four East European cities",2014,"https://doi.org/10.1016/j.resconrec.2014.06.001","Georgia",268,"Western Asia","Developing","UMC","Municipality & Sub-national region","Kutaisi",3.9968,1,,,"Waste Composition Analysis",2,"Between 400-600kg of residual waste from residential areas taken and sorted. Done each month for a period of a year. Compositional information combined with MSW data to understand total waste. The paper does specify these samples came from residential areas but they were collected from waste trucks rather than homes directly leading to some increased uncertainty.",,,"2010-11",,,,,,,,,,," -   "," -   ",,8.41,"kg / capita / month",8.41,100.97,101,101,1.00,1.00,1.00,1.00,1.00,101
31,"Food waste in Germany – Baseline 2015 – Summary",2019,"https://www.researchgate.net/publication/339473130_Food_waste_in_Germany_-Baseline_2015_-_Summary","Germany",276,"Western Europe","Developed","HIC","Nationwide",,83.517,,,1,"Literature",1,"This is an English summary paper of a study in German, which means some of the details of the methodology are unclear. They claim to use ""the best available data at the time of the study"", which will include papers in German. Figure S.1 shows the admissable measurement methods and those which were applied for each sector, which is in line with the methods we are targeting here. However, the English summary does not include detail on the specific sources used so it's unclear how many of each method there are. For 'trade', which we are understanding as retail, they use Direct Measurements and Counts and Scans. There is a risk that wholesale has been included in this figure. 
This paper forms the 2015 baseline for food waste against which the national strategy for reducing food waste will be measured, it is therefore the preferred figure for Germany.",,,2015,,,84%,"0.41 Mt was considered avoidable"," 0 ","Million tonnes / year",0,490000," 490,000 ",1," 82,135,143 "," -   ",6,,,,,,6,1.00,1.00,1.00,1.00,1.00,6
31,"Food waste in Germany – Baseline 2015 – Summary",2019,"https://www.researchgate.net/publication/339473130_Food_waste_in_Germany_-Baseline_2015_-_Summary","Germany",276,"Western Europe","Developed","HIC","Nationwide",,83.517,,1,,"Literature",1,"This is an English summary paper of a study in German, which means some of the details of the methodology are unclear. They claim to use ""the best available data at the time of the study"", which will include papers in German. Figure S.1 shows the admissable measurement methods and those which were applied for each sector, which is in line with the methods we are targeting here. However, the English summary does not include detail on the specific sources used so it's unclear how many of each method there are. For out of home they use Direct Measurements; Waste Composition Analysis; Records.
This paper forms the 2015 baseline for food waste against which the national strategy for reducing food waste will be measured, it is therefore the preferred figure for Germany.",,,2015,,,72%,"1.22 Mt was considered avoidable"," 2 ","Million tonnes / year",2,1690000," 1,690,000 ",1," 82,135,143 "," -   ",21,,,,,,21,1.00,1.00,1.00,1.00,1.00,21
31,"Food waste in Germany – Baseline 2015 – Summary",2019,"https://www.researchgate.net/publication/339473130_Food_waste_in_Germany_-Baseline_2015_-_Summary","Germany",276,"Western Europe","Developed","HIC","Nationwide",,83.517,1,,,"Literature",1,"This is an English summary paper of a study in German, which means some of the details of the methodology are unclear. They claim to use ""the best available data at the time of the study"", which will include papers in German. Figure S.1 shows the admissable measurement methods and those which were applied for each sector, which is in line with the methods we are targeting here. However, the English summary does not include detail on the specific sources used so it's unclear how many of each method there are. For household they use Direct Measurement; Waste Composition Analysis; Records. 
This paper forms the 2015 baseline for food waste against which the national strategy for reducing food waste will be measured, it is therefore the preferred figure for Germany.",,,2015,,,44%,"2.69 Mt was considered avoidable"," 6 ","Million tonnes / year",6,6140000," 6,140,000 ",," 82,135,143 "," -   ",,75.00,"kg / capita / year",75.00,75.00,75,75,1.00,1.00,1.00,1.00,1.00,75
32,"Municipal solid waste characterization and quantification as a measure towards effective waste management in Ghana",2015,"http://dx.doi.org/10.1016/j.wasman.2015.09.009","Ghana",288,"Sub-Saharan Africa","Developing","LMC","Nationwide",,30.4179,1,,,"Waste Composition Analysis",1,"1014 households representing 6083 people were randomly selected in 10 different districts across the country across three socioeconomic groups (low, medium, high). The households were provided with two bags, one for biodegradable waste and one for other waste, and were taught how to separate accordingly. Employed sorters then collected and did further sorting and disaggregation between every two days and twice a week for a period of five weeks, including sorting the biodegradable waste into a food subcategory. The per capita figure taken is the average across the socioeconomic groups provided in the paper.",,,2014,48%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.23,"kg / capita / day",0.23,84.01,84,84,1.00,1.00,1.00,1.00,1.00,84
33,"The implications of food waste generation on climate change: The case of Greece",2015,"https://doi.org/10.1016/j.spc.2015.06.006","Greece",300,"Southern Europe","Developed","HIC","Nationwide",,10.4735,1,,,"Diaries",2,"252 households in urban and semi-urban areas of Athens, Heraklion and Chania were involved in a diary study, asked to weigh and record their waste (both avoidable and unavoidable) for a period of two weeks. This has been adjusted to account for diary bias.",1,,2013,,,30%,"The avoidable/unavoidable split is presented. 29.8 kg / cap / year avoidable. This is divided by the total waste to get an edible share.",,,,,,," -   "," -   ",,98.90,"kg / capita / year",98.90,98.90,99,99,1.43,1.00,1.00,1.00,1.43,142
34,"Quantification of Household Food Waste in Hungary: A Replication Study Using the FUSIONS Methodology",2020,"https://doi.org/10.3390/su12083069","Hungary",348,"Eastern Europe","Developed","HIC","Nationwide",,9.6847,1,,,"Diaries",2,"165 households measured their waste in a diary for a week. This is a repeat of a 2016 study to identify changes in household waste. The definitions used are designed to be compliant with the EU FUSIONS project. It has been adjusted to account for diary bias.",1,,2019,,,51%,"Paper includes breakdown of avoidable, potentially avoidable and unavoidable. Avoidable waste was 48.81% of total food waste and liquid waste. Possibly avoidable was 4.16%, this is assumed to be 50% avoidable and 50% unavoidable for comparability purposes. A breakdown of specific food categories is also presented.",,,,,,," -   "," -   ",,65.49,"kg / capita / year",65.49,65.49,65,65,1.43,1.00,1.00,1.00,1.43,94
35,"An Analytical Study of Effect of Family Income and Size on Per Capita Household Solid Waste Generation in Developing Countries",2014,"http://rah-net.com/journals/rah/Vol_3_No_1_March_2014/11.pdf","India",356,"Southern Asia","Developing","LMC","Municipality & Sub-national region","Dehradun",1366.4178,1,,,"Waste Composition Analysis",2,"144 households across three different socioeconomic groups in Dehradun city were given a large bag in which to dispose their waste, which was then sorted and classified. It is unclear for how long the survey took place, so is assumed to have not met the '700 waste day' baseline and we therefore cannot have high confidence in the estimate.",,,,78%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,199.84,"g / capita / day",0.20,72.99,73,73,1.00,1.00,1.00,1.00,1.00,73
36,"Municipal Solid Waste Quantification, Characterization and Management in Rajam",2016,"http://theijes.com/papers/v5-i2/G0502040047.pdf","India",356,"Southern Asia","Developing","LMC","Municipality & Sub-national region","Rajam, Andhra Pradesh",1366.4178,1,,,"Waste Composition Analysis",2,"25 households from 5 different segments of Rajam town were given two bags; one for wet and one for dry waste, collected each day. Segregated their waste for seven consecutive days, which was then taken for sorting.",,,2014,74%,"Share of waste which is food waste, no other organic estimate",,,,,,,,," -   "," -   ",,0.16,"kg / capita / day",0.16,57.84,58,58,1.00,1.00,1.00,1.00,1.00,58
37,"Household solid waste generation and composition in different family size and socio-economic groups: A case study",2015,"https://doi.org/10.1016/j.scs.2014.07.004","India",356,"Southern Asia","Developing","LMC","Municipality & Sub-national region","Dehradun",1366.4178,1,,,"Waste Composition Analysis",2,"144 households from 11 major blocks of Dehradun city provided with waste bags in which to put their waste from a 24 hour period, which was then sorted and classified.",,,2011,80%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,55.12,"g / capita / day",0.06,20.13,20,20,1.00,1.00,1.00,1.00,1.00,20
